VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,01-03-2016 00:00,01-03-2016 00:06,1,1.1,-73.98860168,40.75708770751953,1,N,-73.98882294,40.76893234,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,01-03-2016 00:00,01-03-2016 00:24,1,9.5,-73.97509003,40.75059509277344,1,N,-73.96178436,40.654178619384766,1,29,0.5,0.5,6.05,0,0.3,36.35
2,01-03-2016 00:00,01-03-2016 00:04,3,0.55,-73.94594574,40.79274368286133,1,N,-73.94728851,40.79091644287109,2,4,0.5,0.5,0,0,0.3,5.3
1,01-03-2016 00:00,01-03-2016 00:06,1,1.5,-73.98848724,40.737354278564446,1,N,-73.99694824,40.71928024291992,3,7,0.5,0.5,0,0,0.3,8.3
1,01-03-2016 00:00,01-03-2016 00:11,1,2.4,-73.97399902,40.74312210083008,1,N,-73.967659,40.770332336425774,2,10.5,0.5,0.5,0,0,0.3,11.8
1,01-03-2016 00:00,01-03-2016 00:07,1,1.2,-73.98757935,40.70003509521485,1,N,-73.97296906,40.69405746459961,1,7,0.5,0.5,1,0,0.3,9.3
1,01-03-2016 00:00,01-03-2016 00:12,1,5.4,-73.99621582,40.75999069213867,1,N,-73.95303345,40.80948257446289,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,01-03-2016 00:00,01-03-2016 00:08,1,1.43,-73.9988327,40.72496795654297,1,N,-74.00899506,40.73814392089844,1,7.5,0.5,0.5,2.64,0,0.3,11.44
2,01-03-2016 00:00,01-03-2016 00:11,1,2.99,-73.97748566,40.75304031,1,N,-74.00258636,40.7199707,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,01-03-2016 00:00,01-03-2016 00:03,2,0.46,-74.01016998,40.71933364868164,1,N,-74.01359558,40.71672058105469,2,4,0.5,0.5,0,0,0.3,5.3
2,01-03-2016 00:00,01-03-2016 00:11,1,2.91,0,0,1,N,0,0,1,12,0.5,0.5,3.32,0,0.3,16.62
1,01-03-2016 00:00,01-03-2016 00:12,1,3.4,-73.98661041,40.76193618774414,1,N,-73.94239044,40.74867248535156,1,12.5,0.5,0.5,4.1,0,0.3,17.9
1,01-03-2016 00:00,01-03-2016 00:03,1,0.9,-73.97314453,40.76403045654297,1,N,-73.98130798,40.75306701660156,1,4.5,0.5,0.5,2,0,0.3,7.8
2,01-03-2016 00:00,01-03-2016 00:07,1,1.32,-73.99399567,40.72010803222656,1,N,-73.98394775,40.73762512207031,2,7,0.5,0.5,0,0,0.3,8.3
1,01-03-2016 00:00,01-03-2016 00:07,1,1,-73.98197937,40.763042449951165,1,N,-73.96868896,40.75478363037109,2,6,0.5,0.5,0,0,0.3,7.3
2,01-03-2016 00:00,01-03-2016 00:16,1,4.76,-74.00792694,40.748172760009766,1,N,-73.96783447,40.79297637939453,2,17.5,0.5,0.5,0,0,0.3,18.8
2,01-03-2016 00:00,01-03-2016 00:08,1,4.51,-73.97218323,40.79489135742188,1,N,-73.9393692,40.848270416259766,1,14,0.5,0.5,2,0,0.3,17.3
2,01-03-2016 00:00,01-03-2016 00:08,1,1.42,-73.97393799,40.75355148,1,N,-73.98504639,40.76599884033203,1,7,0.5,0.5,1.66,0,0.3,9.96
1,01-03-2016 00:00,01-03-2016 00:08,2,2.3,-73.97753143,40.75334167480469,1,N,-74.0013504,40.731292724609375,1,9,0.5,0.5,3.05,0,0.3,13.35
1,01-03-2016 00:00,01-03-2016 00:05,1,0.5,-73.97672272,40.68385696411133,1,N,-73.97851563,40.68935775756836,1,5,0.5,0.5,4,0,0.3,10.3
2,01-03-2016 00:00,01-03-2016 00:21,1,5.66,-73.97499847,40.757671356201165,1,N,-73.89971924,40.72565841674805,2,20,0.5,0.5,0,0,0.3,21.3
2,01-03-2016 00:00,01-03-2016 00:05,6,1.47,-73.97740936,40.75219345092773,1,N,-73.99633789,40.74768829345703,1,6.5,0.5,0.5,1.95,0,0.3,9.75
1,01-03-2016 00:00,01-03-2016 00:15,1,2.8,-74.00601196,40.74011993408203,1,N,-73.97261047,40.75631713867188,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,01-03-2016 00:00,01-03-2016 00:39,3,18.34,-73.79316711,40.656829833984375,5,N,-73.79316711,40.656829833984375,2,58.34,0,0.5,0,0,0.3,59.14
2,01-03-2016 00:00,01-03-2016 00:07,6,1.74,-73.9786377,40.76277923583984,1,N,-73.97730255,40.78361892700195,1,8,0.5,0.5,1.86,0,0.3,11.16
1,01-03-2016 00:00,01-03-2016 00:40,1,20.2,-73.78993225,40.64365005493164,2,Y,-73.97976685,40.71455764770508,2,52,0,0.5,0,0,0.3,52.8
2,01-03-2016 00:00,01-03-2016 00:05,1,0.9,-73.97323608,40.759590148925774,1,N,-73.98795319,40.76502609,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,01-03-2016 00:00,01-03-2016 00:14,1,3.37,-73.95195007,40.779609680175774,1,N,-73.98918915,40.756309509277344,1,13,0.5,0.5,1,0,0.3,15.3
2,01-03-2016 00:00,01-03-2016 00:10,1,1.2,-73.97566986,40.75677108764648,1,N,-73.98316193,40.766883850097656,1,8,0.5,0.5,2.32,0,0.3,11.62
2,01-03-2016 00:00,01-03-2016 00:38,2,18.95,-73.79023743,40.644039154052734,2,N,-73.96041107,40.81586837768555,2,52,0,0.5,0,5.54,0.3,58.34
1,01-03-2016 00:00,01-03-2016 00:13,4,2.5,-73.98733521,40.73789978027344,1,N,-73.98337555,40.76454162597656,1,11,0.5,0.5,3.07,0,0.3,15.37
2,01-03-2016 00:00,01-03-2016 00:15,6,3.32,-73.9969635,40.72977828979492,1,N,-73.99897003,40.76095962524414,1,13,0.5,0.5,1,0,0.3,15.3
1,01-03-2016 00:00,01-03-2016 00:13,1,3.9,-73.99159241,40.72639465332031,1,N,-73.95220947,40.74953079223633,2,14,0.5,0.5,0,0,0.3,15.3
1,01-03-2016 00:00,01-03-2016 00:01,2,0.2,-73.98856354,40.74924087524414,1,N,-73.98527527,40.75021362304688,2,3,0.5,0.5,0,0,0.3,4.3
